,name,occurances,color,ppg
34,Roasted Barley (US),6301,304.20377717822566,32.88724617614756
35,Caramel/Crystal 120L (US),6124,120.29686479425212,32.93045077468303
36,Biscuit (BE),6087,23.380154427468376,34.91990405300356
37,Château Biscuit®,6027,23.0,34.927445476139056
38,Oat Flakes,5916,1.000338066260987,30.9300022090013
39,Munich Malt 20L,5833,18.15138007886165,34.90041436553569
40,"Barley, Flaked",5599,1.0030362564743704,31.93027800681161
41,"Oats, Flaked",5401,1.0,36.91572405295675
42,Rye Malt,5323,2.9086981025737364,28.962005391059517
43,"Wheat, Flaked",5093,1.9976438248576478,33.93226163516232
44,Dextrose (Corn Sugar),4861,1.0,45.893351536346785
45,Flaked Barley,4825,1.9941968911917098,31.883406142206777
46,Rye (US),4668,3.0130676949443016,37.888731892686245
47,Golden Promise (UK),4569,2.994309476909608,36.92548362900602
48,Wheat (US),4370,1.016704805491991,37.91825785535445
49,Melanoidin (DE),4362,25.28266850068776,36.913690852597036
50,Roasted Barley (UK),4330,546.6801385681293,28.879961680072494
51,Corn Sugar (Dextrose),4272,,45.904642625782756
52,6-Row Brewers Malt,4261,1.000469373386529,35.925138289552095
53,Honey ,3840,2.1234375,41.876032062009635
54,Château Special B®,3767,112.02601539686754,34.92718056320738
55,White Wheat,3503,2.0014273479874394,40.9021880557326
56,Flaked Rye,3379,2.390352175199763,35.88225400972345
57,"Sugar, Table (Sucrose)",3378,1.0002961208172934,46.88484447040621
58,Aromatic Barley Malt,3340,22.0,34.927445476139056
59,Caramel Malt 30L,3282,30.217245581962217,33.95141082846425
60,CaraRed (DE),3213,20.08714596949891,33.928897281698745
61,Pale Wheat (CA),3211,2.002802865151043,35.92288621876551
62,Flaked Corn,3200,1.1428571428571428,39.889013846901314
63,Aromatic,3075,19.46471544715447,34.87130194008914
64,Belgian Special B,2972,219.17732166890983,29.91161986065584
65,Sucrose (Table Sugar),2954,1.0,45.90058875842891
66,"Corn, Flaked",2926,1.001367053998633,36.92091211814699
67,Brown Malt (UK),2787,66.08396124865446,31.900364395045422
68,Rolled Oats,2772,2.6587301587301586,33.1259928152176
69,Caramel Malt 90L,2757,90.01196953210011,32.93810675043451
70,Black Patent (UK),2731,525.2581471988283,26.945490996034636
71,Carafa III (DE),2713,535.3192038333948,31.894674290306128
72,CaraMunich II (DE),2700,46.425555555555555,33.92951846253509
73,Melanoidin Malt,2675,23.214953271028037,36.27529979395257
74,Cane Sugar,2652,42.333333333333336,45.87905475363906
75,Aromatic (BE),2630,32.77946768060836,37.89732180141598
76,CaraMunich I (DE),2554,39.14134690681284,33.92990919355061
77,CaraFoam (DE),2474,1.0125303152789005,36.90232448123406
78,Golden Promise,2456,2.0036644951140063,36.87575982069567
79,Red Wheat (US),2438,2.009433962264151,37.91222143315308
80,Lactose (Milk Sugar),2398,1.0,40.63701954896914
81,Acidulated Malt,2393,2.007521938988717,31.38319905381555
82,Torrified Wheat,2345,1.8822525597269624,35.8909025161388
83,CaraHell (DE),2270,11.099118942731277,33.922045000318676
84,Brown Malt,2257,61.046078865751,31.928358664763007
85,Brown Sugar,2217,15.328822733423545,44.88645998943988
86,Midnight Wheat Malt (US),2211,549.7987336047038,32.892775653738916
87,American White Wheat,2157,2.002318034306908,38.91915353055495
88,Black Malt (US),2121,501.1739745403112,27.916078971317567
89,Carafa II (DE),2074,426.1321118611379,31.918748457785323
90,Aromatic Malt (US),2069,20.05703238279362,34.927445476139056
91,"Candi Sugar, Clear",2069,5.0,35.9301957232549
92,CaraMunich (BE),2068,50.26934235976789,32.9441379200886
93,Amber (UK),1968,27.525914634146343,31.938228125938142
94,"Brown Sugar, Light",1878,8.041001064962726,45.90411124824623
95,CaraMunich III (DE),1857,57.284868066774365,33.8956631034306
96,Turbinado,1818,10.00935093509351,43.90933751332377
97,Black Malt (UK),1746,503.12600229095074,27.919094364562945
98,Cane/Beet Sugar (Dextrose),1741,82.5,45.90406943393118
99,6-Row (US),1740,1.0362068965517242,34.930886603772166
100,CaraAroma (DE),1735,131.79596541786742,33.92951846253509
101,Pale Wheat (DE),1722,2.006387921022067,35.93232668495979
102,CaraVienne (BE),1691,19.995269071555292,33.9301086026969
103,Rahr 2-row Pale,1686,1.9988137603795966,35.92537248974303
104,Caramel/Crystal 15L (US),1665,15.043243243243243,34.926246765011605
105,Wheat Malt,1621,3.015422578655151,35.732682079343256
106,Amber Malt,1613,23.324860508369497,32.8944707912645
107,Golden Naked Oats (UK),1602,10.016229712858927,32.91788708295152
108,Caramunich I,1576,33.431472081218274,31.632893285922396
109,Smoked Malt,1569,4.140854047163798,36.44437086010685
110,Rye (DE),1563,3.0620601407549586,37.88036450231844
111,Special Roast (US),1534,49.99022164276401,32.92638713595273
112,Cara Malt (UK),1512,17.062830687830687,34.927445476139056
113,Belgian Candi Sugar - Clear/Blond,1421,8.76923076923077,37.90437201425816
114,Carafa III,1401,526.8165596002855,32.1331073788026
115,"Wheat, Torrified",1393,1.0064608758076095,35.92393971585416
116,Flaked Rice,1386,1.0,38.16458822733926
117,Wheat (BE),1368,1.027046783625731,37.91830860170652
118,Roast Barley,1358,549.4845360824743,29.93560585654276
119,"Brown Sugar, Dark",1319,50.05155420773313,45.90388604730391
120,Crystal 120L (CA),1312,120.0,32.9315914489311
121,Belgian CaraMunich,1309,74.95798319327731,32.93235380723027
122,Molasses,1308,79.75210405508798,35.92537248974303
123,Maple Syrup,1281,35.01328125,29.908986598983095
124,Carafoam,1266,1.9873617693522907,32.9371092128294
125,Smoked Malt (US),1264,5.0,36.922510004127375
126,CaraVienne,1249,21.00240192153723,34.92584751454802
127,"Pumpkin, cooked",1226,12.973017170891252,1.0760681174424571
128,Carafa Special II,1207,431.75476387738195,25.48723781969319
129,American Victory,1206,26.001658374792704,33.92951846253509
130,Caramel/Crystal 75L (US),1176,75.02295918367346,32.93498575850119
131,Milk Sugar (Lactose),1171,,34.842225406659644
132,Crystal 45L (UK),1169,44.98716852010265,33.9295184625351
133,CaraAmber (DE),1157,23.243733794295593,33.92951846253509
134,Carafa I (DE),1128,342.5168439716312,31.905354449125607
135,Cara 20L (BE),1124,22.060498220640568,33.92951846253509
136,Special Roast,1088,50.05514705882353,32.93067423660243
137,Special Roast Malt,1085,50.0,33.92859871413546
138,British Two-row Pale,1062,1.0037664783427496,36.923299503347
139,Melanoiden Malt,1038,20.23217726396917,36.8983032583049
140,Caramunich III,1038,57.01541425818883,33.93144125061526
141,Wheat (UK),1022,2.0097847358121332,36.924275948565786
142,Invert Sugar,1013,4.161417322834645,45.90365750533498
143,Pale Wheat,1001,1.995004995004995,38.90021185896805
144,CARAHELLÂ®,998,9.001002004008017,34.927445476139056
145,Caramel Pils (DE),996,7.969879518072289,33.93252426679293
